method,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,stringLiteralsQty,numbersQty,assignmentsQty,maxNestedBlocksQty,uniqueWordsQty,testSmellName
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirstIterable_tree,818,4,1,4,7,0,1,4,1,1,0,0,0,8,0,1,0,17,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrder_cycle,609,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,22,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirstIterable_twoTrees,871,4,1,4,4,0,0,4,1,1,0,0,0,4,0,0,0,20,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirst_multiGraph,214,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,21,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirstIterable_emptyGraph,900,4,2,6,9,0,0,6,2,2,0,0,1,4,0,0,1,20,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrderIterable_iterableIsLazy,544,6,1,7,8,0,2,7,1,1,0,0,0,3,2,2,0,32,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrderIterable_iterableIsLazy,544,6,1,7,8,0,2,7,1,1,0,0,0,3,2,2,0,32,Assertion Roulette
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrderIterable_graphContainingTreeAndDiamond,1120,4,1,4,6,0,1,4,1,1,0,0,0,6,0,1,0,33,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirstIterable_iterableIsLazy,924,6,1,7,8,0,2,7,1,1,0,0,0,3,2,2,0,23,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirstIterable_iterableIsLazy,924,6,1,7,8,0,2,7,1,1,0,0,0,3,2,2,0,23,Assertion Roulette
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirstIterable_emptyGraph,326,4,2,6,9,0,0,6,2,2,0,0,1,4,0,0,1,37,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_javadocExample_canBeIteratedMultipleTimes,367,3,1,3,5,0,1,3,1,1,0,0,0,2,0,1,0,29,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrderIterable_twoTrees,1136,4,1,4,4,0,0,4,1,1,0,0,0,4,0,0,0,22,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrderIterable_singleRoot,1150,4,1,4,4,0,1,4,1,1,0,0,0,2,0,1,0,26,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrder_graphContainingTreeAndDiamond,1111,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,30,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrder_diamond,391,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,23,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPreOrderIterable_cycle,437,4,1,4,7,0,1,4,1,1,0,0,0,8,0,1,0,25,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrderIterable_emptyGraph,1037,4,2,6,9,0,0,6,2,2,0,0,1,4,0,0,1,22,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_breadthFirstIterable_twoTrees,293,4,1,4,4,0,0,4,1,1,0,0,0,4,0,0,0,20,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirst_graphContainingTreeAndDiamond,846,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,28,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPostOrder_cyclicGraphContainingTree,1093,3,1,3,6,0,1,3,1,1,0,0,0,3,0,1,0,29,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_breadthFirstIterable_cyclicGraphContainingTree,837,4,1,4,6,0,1,4,1,1,0,0,0,6,0,1,0,30,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrderIterable_twoCycles,636,4,1,4,7,0,1,4,1,1,0,0,0,8,0,1,0,30,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrder_singleRoot,1013,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,23,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrder_singleRoot,678,3,1,3,4,0,1,3,1,1,0,0,0,1,0,1,0,23,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forTree_depthFirstPreOrderIterable_singleRoot,1020,4,1,4,4,0,1,4,1,1,0,0,0,2,0,1,0,26,Eager Test
/home/luana-martins/.jnose_projects/guava/android/guava-tests/test/com/google/common/graph/TraverserTest.java.forGraph_depthFirstPostOrder_diamond,572,3,1,3,7,0,1,3,1,1,0,0,0,4,0,1,0,23,Eager Test
