Method,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,CLASS
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/PropertiesConfigFileTest.java.testWhenHasNoContent,3,1,7,6,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/PropertiesConfigFileTest.java.testOnRepositoryChange,7,1,18,28,0,9,0,18,0,0,0,0,0,0,8,1,9,0,0,1,0,0,23,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/PropertiesConfigFileTest.java.testWhenConfigRepositoryHasErrorAndThenRecovered,4,1,12,13,0,4,0,12,0,0,0,0,0,0,4,0,4,0,0,0,0,0,22,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/YamlConfigFileTest.java.testWhenInvalidYamlContent,6,2,13,21,0,5,0,13,0,0,0,0,1,0,2,0,7,0,1,0,0,0,27,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/YamlConfigFileTest.java.testOnRepositoryChange,7,1,12,28,0,9,0,12,0,0,0,0,0,0,6,0,10,0,0,0,0,0,20,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/YamlConfigFileTest.java.testWhenConfigRepositoryHasErrorAndThenRecovered,6,1,18,22,0,5,0,18,0,0,0,0,0,0,4,0,6,0,0,0,0,0,27,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/YamlConfigFileTest.java.testWhenConfigRepositoryHasError,5,1,12,9,0,2,0,12,0,0,0,0,0,0,1,0,2,0,0,0,0,0,19,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/YamlConfigFileTest.java.testWhenHasContentWithOrder,7,1,14,23,0,7,0,14,0,0,0,0,0,0,3,0,8,0,0,1,0,0,32,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/YamlConfigFileTest.java.testWhenHasContent,5,1,9,15,0,5,0,9,0,0,0,0,0,0,3,0,6,0,0,0,0,0,18,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/YamlConfigFileTest.java.testWhenHasNoContent,4,1,10,8,0,2,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetArrayPropertyMultipleTimesWithCacheAndValueChanges,4,1,9,18,0,9,0,9,0,0,0,0,0,0,10,0,10,0,0,0,0,0,25,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetByteProperty,4,1,7,14,0,6,0,7,0,0,0,0,0,0,3,2,7,0,0,0,0,0,16,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/DefaultConfigTest.java.testGetFloatProperty,4,1,7,14,0,6,0,7,0,0,0,0,0,0,3,4,7,0,0,0,0,0,17,1,0,AR
