cbo,wmc,dit,rfc,lcom,totalMethodsQty,totalFieldsQty,returnQty,loopQty,stringLiteralsQty,loc,comparisonsQty,parenthesizedExpsQty,assignmentsQty,variablesQty,maxNestedBlocksQty,lambdasQty,uniqueWordsQty,CLASS
16,3,3,18,1,2,0,1,1,10,22,0,0,9,9,1,0,34,CTL
22,9,2,45,0,4,16,1,2,14,127,2,0,41,40,1,0,86,CTL
17,5,2,30,1,2,14,0,1,6,58,1,1,19,19,1,0,64,CTL
7,6,1,5,0,3,1,0,3,6,21,0,0,3,10,1,3,13,CTL
2,6,1,4,1,2,0,0,4,0,66,0,0,14,14,2,0,28,CTL
2,2,1,4,0,1,0,0,1,1,9,0,0,2,2,1,0,13,CTL
4,2,1,13,0,1,0,0,1,4,26,0,1,12,12,1,0,28,CTL
16,3,3,18,1,2,0,1,1,10,22,0,0,9,9,1,0,34,CTL
22,9,2,45,0,4,16,1,2,14,127,2,0,41,40,1,0,86,CTL
17,5,2,30,1,2,14,0,1,6,58,1,1,19,19,1,0,64,CTL
7,6,1,5,0,3,1,0,3,6,21,0,0,3,10,1,3,13,CTL
2,6,1,4,1,2,0,0,4,0,66,0,0,14,14,2,0,28,CTL
2,2,1,4,0,1,0,0,1,1,9,0,0,2,2,1,0,13,CTL
4,2,1,13,0,1,0,0,1,4,26,0,1,12,12,1,0,28,CTL
16,3,3,18,1,2,0,1,1,10,22,0,0,9,9,1,0,34,CTL
22,9,2,45,0,4,16,1,2,14,127,2,0,41,40,1,0,86,CTL
17,5,2,30,1,2,14,0,1,6,58,1,1,19,19,1,0,64,CTL
7,6,1,5,0,3,1,0,3,6,21,0,0,3,10,1,3,13,CTL
2,6,1,4,1,2,0,0,4,0,66,0,0,14,14,2,0,28,CTL
2,2,1,4,0,1,0,0,1,1,9,0,0,2,2,1,0,13,CTL
15,8,1,29,2,4,3,1,2,18,49,1,0,14,15,2,1,106,CTL
12,9,1,19,10,5,1,0,3,0,82,1,0,20,20,1,0,87,CTL
6,25,1,30,64,13,7,8,4,0,100,2,2,20,17,2,0,44,CTL
7,11,1,18,10,5,0,2,4,0,50,1,0,17,16,2,0,30,CTL
15,21,1,27,15,15,2,1,5,22,94,0,0,20,18,1,0,80,CTL
8,14,3,6,15,6,0,1,8,0,20,0,0,0,0,3,0,26,CTL
8,13,3,6,15,6,0,1,7,0,20,0,0,0,0,3,0,27,CTL
11,2,1,18,1,2,0,0,0,10,29,0,1,0,0,1,0,16,CTL
6,6,3,14,0,3,1,0,3,46,71,0,0,32,27,2,4,54,CTL
12,20,2,12,93,15,6,0,2,27,79,0,0,11,11,2,0,73,CTL
2,3,1,3,0,1,0,0,1,2,12,0,0,0,0,2,0,22,CTL
15,29,3,42,0,17,1,1,5,32,109,3,0,13,17,3,6,105,CTL
19,25,3,34,78,13,0,1,7,11,142,0,2,28,26,3,0,87,CTL
15,21,1,38,0,19,9,1,0,43,140,2,0,44,45,1,9,111,CTL
3,4,1,5,1,2,0,0,1,7,18,0,0,2,2,2,1,27,CTL
6,5,1,3,6,4,0,0,1,16,29,0,0,0,0,1,5,16,CTL
9,11,2,16,21,7,0,0,4,10,57,0,0,8,8,1,0,39,CTL
9,5,1,8,2,4,2,2,1,1,31,0,0,6,6,1,0,33,CTL
7,15,1,11,0,12,2,0,3,0,83,0,0,5,5,1,0,33,CTL
2,6,1,3,3,3,0,0,3,0,32,0,0,12,9,1,0,9,CTL
10,4,1,17,1,3,2,0,1,10,29,0,0,6,8,1,0,18,CTL
4,3,1,9,0,1,0,0,0,4,17,0,0,4,3,1,0,22,CTL
5,4,1,10,0,2,1,0,1,12,25,0,0,7,7,2,0,21,CTL
13,13,1,12,3,10,1,1,3,0,89,0,0,14,12,1,0,47,CTL
12,20,1,16,18,16,11,0,3,0,108,0,0,21,19,1,0,78,CTL
15,27,2,33,0,21,2,5,0,36,159,1,0,49,33,1,0,85,CTL
17,49,1,48,0,34,24,0,0,8,277,4,0,25,26,2,0,83,CTL
20,56,1,53,28,37,24,0,0,7,298,8,3,26,27,2,0,92,CTL
4,5,1,5,6,4,0,0,1,21,26,0,0,0,0,1,0,43,CTL
43,34,10,100,0,28,1,0,1,244,513,0,2,108,86,3,0,236,CTL
7,2,1,7,0,1,1,0,1,3,12,0,0,4,4,1,0,17,CTL
15,21,1,38,0,19,9,1,0,43,140,2,0,44,45,1,9,111,CTL
3,4,1,5,1,2,0,0,1,7,18,0,0,2,2,2,1,27,CTL
6,5,1,3,6,4,0,0,1,16,29,0,0,0,0,1,5,16,CTL
12,3,2,19,0,2,2,0,1,10,16,0,0,3,4,1,0,16,CTL
6,3,3,19,1,2,0,1,0,35,32,0,0,2,2,1,0,23,CTL
23,9,2,27,0,6,2,1,2,4,42,1,0,11,10,2,0,75,CTL
6,3,1,7,1,2,1,1,1,1,13,0,0,3,3,1,0,31,CTL
4,3,1,9,3,3,0,0,0,20,19,0,0,0,0,0,0,21,VT
4,3,1,9,3,3,0,0,0,20,20,0,0,0,0,0,0,21,VT
4,3,1,9,3,3,0,0,0,20,21,0,0,0,0,0,0,21,VT
4,3,1,9,3,3,0,0,0,20,16,0,0,0,0,0,0,21,VT
4,3,1,9,3,3,0,0,0,20,15,0,0,0,0,0,0,21,VT
4,3,1,9,3,3,0,0,0,20,19,0,0,0,0,0,0,21,VT
4,3,1,9,3,3,0,0,0,20,19,0,0,0,0,0,0,21,VT
18,30,2,59,100,20,21,12,6,746,100,8,2,54,100,2,2,111,VT
10,1,1,21,0,1,0,0,0,5,12,0,0,6,5,0,0,35,VT
5,6,1,17,15,6,0,0,0,110,20,0,0,0,6,0,6,41,VT
9,10,1,26,45,10,0,1,0,114,62,0,0,2,11,1,9,102,VT
5,11,2,9,28,8,0,3,1,73,73,2,0,15,15,1,0,67,VT
7,13,2,15,78,13,0,2,0,593,267,0,0,13,2,0,0,136,VT
4,7,2,21,21,7,0,0,0,201,63,0,0,7,7,0,0,107,VT
5,7,1,9,1,2,1,0,0,3,46,3,0,6,4,1,0,28,VT
4,10,1,11,45,10,0,6,0,37,67,0,0,2,2,0,0,40,VT
11,3,2,18,3,3,0,1,0,6,24,0,0,3,3,0,0,34,VT
28,18,2,79,122,18,0,1,0,146,290,0,5,58,60,1,3,133,VT
18,21,2,45,120,16,0,1,0,87,216,0,0,60,59,0,10,110,VT
28,7,1,60,21,7,0,0,0,105,38,0,0,8,8,0,0,28,VT
12,8,4,21,28,8,0,0,0,62,69,0,0,12,12,0,7,103,VT
12,7,4,15,21,7,0,0,0,62,63,0,0,11,11,0,6,91,VT
21,19,1,27,2,12,7,1,3,39,108,1,0,26,26,2,1,80,VT
11,10,1,18,0,10,5,0,0,16,121,0,0,15,16,0,0,47,VT
2,1,1,10,0,1,0,0,0,53,7,0,0,2,2,0,0,45,VT
2,4,1,10,6,4,0,0,0,176,21,0,0,7,7,0,0,46,VT
2,4,1,9,6,4,0,0,0,228,22,0,0,8,8,0,0,69,VT
20,8,4,13,28,8,0,0,0,3,274,0,0,34,33,0,0,44,VT
2,3,1,11,3,3,0,0,0,460,34,0,0,23,23,0,0,98,VT
9,3,1,10,3,3,1,0,0,0,33,0,0,8,8,0,0,23,VT
14,3,1,10,3,3,1,0,0,27,28,0,0,3,4,0,0,33,VT
9,1,1,8,0,1,1,0,0,6,19,0,0,8,8,0,0,16,VT
22,7,1,25,9,6,3,2,1,222,42,0,0,10,13,1,1,124,VT
21,4,1,14,6,4,0,4,0,4,20,0,0,3,5,1,1,28,VT
26,10,1,31,45,10,0,10,0,20,42,0,0,5,7,1,1,44,VT
15,14,1,22,36,9,3,5,5,18,85,0,0,32,29,3,0,63,VT
15,2,1,17,0,2,2,0,0,16,33,0,0,6,6,0,0,48,VT
15,4,1,28,0,4,2,0,0,15,62,0,0,14,9,0,1,61,VT
10,4,4,20,6,4,1,0,0,18,49,0,0,9,6,0,0,29,VT
10,5,2,14,4,5,1,1,0,4,114,0,1,4,4,0,0,38,VT
22,10,6,29,0,9,3,1,0,93,230,0,0,41,39,1,0,121,VT
11,2,1,10,1,2,1,0,0,36,31,0,0,13,5,0,0,28,VT
21,19,1,27,2,12,7,1,3,39,108,1,0,26,26,2,1,80,VT
9,5,1,11,8,5,3,1,0,2,67,0,0,4,4,1,2,30,VT
26,10,1,31,45,4,1,0,0,18,49,0,0,9,6,0,0,29,VT
15,14,1,22,36,5,1,1,0,4,114,0,1,4,4,0,0,38,VT
26,10,1,31,45,10,1,0,0,0,33,0,0,8,8,0,0,23,VT
15,14,1,22,36,9,1,0,0,27,28,0,0,3,4,0,0,33,VT
15,2,1,17,0,2,1,0,0,6,19,0,0,8,8,0,0,16,VT
9,1,1,8,0,1,3,2,1,222,42,0,0,10,13,1,1,124,VT
22,7,1,25,9,6,0,4,0,4,20,0,0,3,5,1,1,28,VT
21,4,1,14,6,4,0,10,0,20,42,0,0,5,7,1,1,44,VT
26,10,1,31,45,10,3,5,5,18,85,0,0,32,29,3,0,63,VT
9,3,1,10,3,3,1,0,0,18,86,0,0,8,8,0,0,16,VT
14,3,1,10,3,3,1,1,0,4,48,0,1,10,13,1,1,124,VT
26,10,1,31,45,10,3,0,0,0,30,0,0,4,4,1,2,30,VT
15,14,1,22,36,9,3,0,0,27,20,0,0,32,29,3,0,63,VT
11,3,2,18,3,3,0,0,0,6,20,0,0,26,26,2,1,80,VT
28,18,2,79,110,18,0,2,1,222,32,0,0,4,4,1,2,30,VT
18,21,2,45,120,16,0,4,0,4,33,0,0,9,6,0,0,29,VT
28,7,1,60,21,7,0,10,0,20,98,0,0,9,6,0,0,29,VT
4,2,1,8,3,2,1,5,5,18,19,0,0,8,8,0,0,16,VT
4,1,2,25,3,1,3,2,1,222,42,0,0,10,13,1,1,124,VT
4,7,2,14,0,7,0,1,0,2,67,0,0,4,4,1,2,30,VT
4,4,2,31,9,10,3,5,5,18,85,0,0,32,29,3,0,63,VT
18,10,1,10,6,4,1,0,0,18,49,0,0,9,6,0,0,29,VT
16,3,3,25,45,2,1,0,0,6,19,0,0,8,8,0,0,16,VT
18,3,3,14,36,1,3,2,1,222,42,0,0,10,13,1,1,124,VT
9,14,10,14,2,1,0,1,3,39,108,1,0,26,26,2,1,80,VT
22,3,4,22,0,4,3,2,1,222,42,0,0,10,13,1,1,124,VT
18,2,2,18,6,4,2,0,0,18,49,0,0,9,6,0,0,29,VT
18,18,4,9,4,7,0,1,0,4,114,0,1,4,4,0,0,38,VT
18,3,2,18,0,4,5,2,0,18,5,0,0,9,6,0,0,29,VT
14,3,3,9,100,1,0,1,2,4,,0,1,4,4,0,0,38,VT
13,3,3,10,0,7,0,2,1,4,42,0,1,4,4,0,0,38,VT
16,9,3,31,15,9,3,2,1,4,42,0,1,4,4,0,0,38,VT
9,6,5,22,45,10,,0,0,6,19,0,0,8,8,0,0,16,VT
22,7,4,18,28,7,0,2,1,222,42,0,0,10,13,1,1,124,VT
15,7,4,79,78,8,2,4,0,16,26,0,0,1,2,2,1,28,VT
26,7,5,45,21,7,0,4,0,16,36,0,0,1,2,2,1,28,VT
9,8,1,9,19,7,2,4,0,16,36,0,0,1,2,2,1,28,VT
9,8,1,9,19,7,2,4,0,16,30,0,0,1,2,2,1,28,VT
9,8,1,9,19,7,2,4,0,16,36,0,0,1,2,2,1,28,VT
26,10,1,31,45,10,3,5,5,18,85,0,0,32,29,3,0,63,VT
9,3,1,10,3,3,1,4,0,16,36,0,0,1,2,2,1,28,VT
14,3,1,10,3,3,1,4,0,16,24,0,0,1,2,2,1,28,VT
18,3,3,14,36,1,3,2,1,222,42,0,0,10,13,1,1,124,VT
9,14,10,14,2,1,0,4,0,16,26,0,0,1,2,2,1,28,VT
14,3,1,10,3,3,1,4,0,16,26,0,0,1,2,2,1,28,VT
11,3,2,18,3,3,0,4,0,16,24,0,0,1,2,2,1,28,VT
28,7,1,60,21,7,0,2,1,198,42,0,0,10,13,1,1,124,VT
15,14,1,22,36,5,1,1,0,4,114,0,1,4,4,0,0,38,VT
9,1,1,8,0,1,3,2,1,198,42,0,0,10,13,1,1,124,VT
9,3,1,10,3,3,1,0,0,110,12,0,0,8,8,0,0,69,VT
2,4,1,9,6,4,0,0,0,200,22,0,0,8,8,0,0,69,VT
14,3,1,10,3,2,1,0,0,27,28,0,0,3,4,0,0,33,VT
22,7,3,20,10,6,3,2,1,222,42,0,0,10,13,1,1,124,VT
4,8,2,21,21,7,0,0,0,201,63,0,0,7,7,0,0,107,VT
4,10,1,11,45,10,0,6,0,37,67,0,0,2,2,0,0,40,VT
10,4,1,25,0,4,0,436,2,0,37,0,0,0,1,0,0,3,VT
